_id	content	name
1	:【战火中逃生的叙利亚男孩 现已恢复健康】据英国《每日邮报》报道，叙利亚城市阿勒颇在2016年遭受空袭，5岁男童达克奈什（Omran Daqneesh）被人从瓦砾中救出。他“灰头土脸一脸呆滞地坐在椅子上”一幕被传遍网络。今年六月黎巴嫰一个电视台访问了达克奈什一家。通过视频可见，男童已恢复健康。 ?	破折号
2	:怕剧透平时连 trailer 都不看，整理奥斯卡材料躲不过一大波剧情简介… 但是发现提名的纪录片都还蛮有意思。长短纪录片各5个提名里 Netflix 自制占了三个，有大平台把控的 trailer 效果远高平均水平，还没看正片呢就燃了。 还有个挺戳的点就是这些独立纪录片的网站都做得很用心，比如记录一群叫 White Helmets 的志愿者留在叙利亚阿勒波救人的 《Last Men in Aleppo》，除了简介和媒体评价，提供了线上线上观看方式，具体到每个电影院的放映时间。而其发行方，致力于独立电影发行的Grasshopper Film，名字和简介也太可爱啦哈哈！	Ventywhy
3	2017年底叙利亚彻底摧毁ISIS所有据点，六年内战结束，获得全国解放。在俄罗斯的斡旋下，进行了七轮阿斯塔纳和谈，土耳其伊朗参与其中。在联合国斡旋下，日内瓦和谈机制启动。民族和解进程加速，人们期盼2018年叙利亚会建立一个得到广泛承认的新政府，启动战后重建，人民群众的生活会逐步得到改善。俄罗斯完成撤军，美国在叙利亚境内的军人数量也大幅减少。      没想到按下葫芦起来瓢，黎明前再次出现黑暗。20日土耳其突然出动坦克装甲车自行火炮对毗邻的叙利亚东北阿夫林地区进攻，空军出动战机对数十个目标进行空袭，打击对象是叙境内的库尔德武装，作战目的是在叙利亚和土耳其边境建立一个长30公里长的安全地带，防止叙境内库尔德武装与土境内库尔德工人党相互勾连。      土耳其是北约国家，悍然出兵叙利亚打击美国支持的库尔德武装，必须得到美国的默许，否则必将惹火烧身。问题是，美国凭什么默许土耳其动武？美国20日政府关门行政停摆，普京忙于大选无暇顾及，抓住这个时机土耳其发动攻势，战役目的是什么？建立30公里长安全区，纵深是多少？几公里，几十公里，还是趁乱把阿夫林库区吃掉？库尔德武装久经沙场，六年来天天都在打仗，骁勇善战，养尊处优的土耳其军队隔山打牛，光靠非接触作战快速机动作战就能击败库尔德武装吗？没有这种可能！    桃子熟了都想下山摘桃子，争夺胜利果实，抢地盘，这个可以理解，但鹿死谁手，还需要时间的考验～	我的甜心天下第一
4	:叙利亚境内战争打响 土耳其轰炸伊拉克北部叙利亚境内战争打响 土耳其轰炸伊拉克北部 ?	军事迷
5	":January 23, 2018 - 叙利亚东古塔区遭到毒气弹袭击，一名受感染的小女孩正在接受雾化治疗，大马士革。1月22日，叙利亚反对派控制的东古塔区（Eastern Ghouta）遭到毒气袭击，造成包括儿童在内的至少21名平民受伤。根据叙利亚人权观察组织报道，毒气弹很可 @iDaily每日视野 http://t.cn/RQnOaoP ?"	漫游的海龟
6	:几年前，战地记者【哈桑·阿巴斯】因其独特发音的“叙利亚大马士革报道”而走红。时至今日，叙利亚内战仍在继续。无论是对战争的反思，还是对和平的珍惜，都是哈桑大叔这样的战地记者带给我们最宝贵的财富。今天便以哈桑大叔做我们的【反战歌姬】，用鬼畜的方式，炸厕的视角观察这已发生了七年且仍未结束的战争，希望能将更多的思考带给大家。 http://t.cn/RQ1RAiy	非桥段
7	:土耳其真的敢直接打美军驻叙利亚部队吗？我看也就是虚张声势而已，要真的打起来，恐怕土耳其不是美国的对手，而且美国借此机会可以收复土耳其，把土耳...//【土耳其要将美盟军斩尽杀绝：要求美军撤退否则枪炮无眼】  土耳其要将美盟军斩尽杀绝：要求美军撤退否则枪炮无眼 ?	飞龙20151
8	:#方翔锐##方翔锐冬天快乐#        微博故事更新    @易安音乐社-方翔锐   【重新传一个高清不是录屏版[偷乐]】@叙利亚方翔锐 谢谢提供视频[挤眼] FANGRIDER_方翔锐资源博的秒拍视频 ?	FANGRIDER_方翔锐资源博
9	:【土总统：土耳其军队在叙行动将不仅限于阿夫林地区】土耳其总统埃尔多安表示，土军将不仅限于在阿夫林地区展开行动，而是计划清剿境内所有与叙利亚交界地区的恐怖分子。http://t.cn/RQ1kc5m ?	俄罗斯卫星通讯社
10	":2018.1.22 叙利亚""自由军"" & 土耳其军队 在 阿夫林 前线 [微笑]Via《Enab Baladi》 ?"	英国军情六处
