"_id","content","name"
"1",":据@纪录电影二十二 消息，爱猫的奶奶李爱连老人于2018年1月23日早晨在山西家中离世[蜡烛][蜡烛][蜡烛]导演@郭柯35mm 发博悼念，愿一路走好[蜡烛]截至现在，#纪录电影二十二#中的22位老人仅有7位在世。《二十二》李爱连老人今离世 ​","新浪娱乐"
"2",":#整形教授刘成胜的红包#好运说来就来！脂肪教授刘成胜 的红包中抽到了@微博电影 提供的“5元电影券”，靠谱又惊喜，快来嗨抢吧！脂肪教授刘成胜 的红包 ​","西柚_candy"
"3","鹿晗关晓彤李易峰 春晚@李易峰  最终去不去春晚不知道，但是李易峰的@电影动物世界  2018年暑期档上映是真的啦！目前电影发布了四张海报，开机海报，杀青海报，小丑版海报和“峰”彩“司”裂版海报。每一张都在增加新的信息，海报之间又存在似有还无的关系。正如漫画中的伊藤开司也就是电影中李易峰扮演的郑开司，总能从事件迷雾中发现关键的细节，一举逆袭解决问题。有细节控从这四张海报中竟然找到了14个隐藏的看点！！真的很有意思。如果你也是细节控，可以看看这篇文章啦→_→http://t.cn/RQa7U3J","人生若只如初见--潇湘"
"4",":突然的电影约，加班到八点还跑过来看，我是年轻人哈哈哈哈哈哈哈哈哈哈 ​","laura_"
"5",":第一次[摊手]#前任3：再见前任[电影]#@铁匠博 ​","VICTORIA_ZERO"
"6",":一份上错了的什锦面想再成都的街头走一走坐在它的小酒馆里一份在电视上看过的菠萝饭尝了尝鲜第一次半夜看电影只是为了赶上那班车第一次定位在江的中间第一次这么真切看我的头发才发现原来不是黑色 汉中·成都市锦里 ​","Troubling-Maker"
"7",":我妈把我雷到了今天她问我你看了前任3没有，那个电影很火啊收音机电视新闻都在讲我说这么火的电影我肯定看了啊她说我还以为你没看回来了带我去看呢[允悲] 武汉·建设二路 ​","W_瑶阿瑶"
"8",":人生如戏，无论观众对这出戏有任何的意见，在戏里的我们永远都听不见，#百度云网盘#  只能按照安排表演着我们的人生我们也不会因此高兴；百度云电影你懂的我愿虔诚为你许下心愿，你的一世安然是我买片此生最暖，你的语笑嫣然是我卖片最大的心愿，只愿你共赴看黄色[微笑]小电影  就算观众为我们喝倒彩，我们也不会因此沮丧。因为这出戏是属于我们自己的戏，好与坏应该由我们自己来做评判。","多薩科罰金"
"9",":#张沫凡的红包#好运说来就来！张沫凡MOMO 的红包中抽到了@微博电影 提供的“5元电影券”，靠谱又惊喜，快来嗨抢吧！张沫凡MOMO 的红包 ​","怀Lightning周"
"10",":我围观了@褚明宇 的回答，该问题价值2198.00元，围观仅1元，快来一起围观~ <br />微博问答:褚老师，您喜欢电影《无问西东》吗？电影上映以来口碑两极分化比较严重，有人看到哭，有人看到吐，有人感动于片中歌颂的人性之真善美，也有人批评电影是歌颂清华的命题作文 ​","谢金华-"
