"_id","name","Term0","Term1","Term10","Term100","Term101","Term102","Term103","Term104","Term105","Term106","Term107","Term108","Term109","Term11","Term110","Term111","Term112","Term113","Term114","Term115","Term116","Term117","Term118","Term119","Term12","Term120","Term121","Term122","Term123","Term124","Term125","Term126","Term127","Term128","Term129","Term13","Term130","Term131","Term132","Term133","Term134","Term135","Term136","Term137","Term138","Term139","Term14","Term140","Term141","Term142","Term143","Term144","Term145","Term146","Term147","Term148","Term149","Term15","Term150","Term151","Term152","Term153","Term154","Term155","Term156","Term157","Term158","Term159","Term16","Term160","Term161","Term162","Term163","Term164","Term165","Term166","Term167","Term168","Term169","Term17","Term170","Term171","Term172","Term173","Term174","Term175","Term176","Term177","Term178","Term179","Term18","Term180","Term181","Term182","Term183","Term184","Term185","Term186","Term187","Term188","Term189","Term19","Term190","Term191","Term192","Term193","Term194","Term195","Term196","Term197","Term198","Term199","Term2","Term20","Term200","Term201","Term202","Term203","Term204","Term205","Term206","Term207","Term208","Term209","Term21","Term210","Term211","Term212","Term213","Term214","Term215","Term216","Term217","Term218","Term219","Term22","Term220","Term221","Term222","Term223","Term224","Term225","Term226","Term227","Term228","Term229","Term23","Term230","Term231","Term232","Term233","Term234","Term235","Term236","Term237","Term238","Term239","Term24","Term240","Term241","Term242","Term243","Term244","Term245","Term246","Term247","Term248","Term249","Term25","Term250","Term251","Term252","Term253","Term254","Term255","Term256","Term257","Term258","Term259","Term26","Term260","Term261","Term262","Term263","Term264","Term265","Term266","Term267","Term268","Term269","Term27","Term270","Term271","Term272","Term273","Term274","Term275","Term276","Term277","Term278","Term279","Term28","Term280","Term281","Term282","Term283","Term284","Term285","Term286","Term287","Term288","Term289","Term29","Term290","Term291","Term292","Term293","Term294","Term295","Term296","Term297","Term298","Term299","Term3","Term30","Term300","Term301","Term302","Term303","Term304","Term305","Term306","Term307","Term308","Term309","Term31","Term310","Term311","Term312","Term313","Term314","Term315","Term316","Term317","Term318","Term319","Term32","Term320","Term321","Term322","Term323","Term324","Term325","Term326","Term327","Term328","Term329","Term33","Term330","Term331","Term332","Term333","Term334","Term335","Term336","Term337","Term338","Term339","Term34","Term340","Term341","Term342","Term343","Term344","Term345","Term346","Term347","Term348","Term349","Term35","Term350","Term351","Term352","Term353","Term354","Term355","Term356","Term357","Term358","Term359","Term36","Term360","Term361","Term362","Term363","Term364","Term365","Term366","Term367","Term368","Term369","Term37","Term370","Term371","Term372","Term373","Term374","Term375","Term376","Term377","Term378","Term379","Term38","Term380","Term381","Term382","Term383","Term384","Term385","Term386","Term387","Term388","Term389","Term39","Term390","Term391","Term392","Term393","Term394","Term395","Term396","Term397","Term398","Term399","Term4","Term40","Term400","Term401","Term402","Term403","Term404","Term405","Term406","Term407","Term408","Term409","Term41","Term410","Term411","Term412","Term413","Term414","Term415","Term416","Term417","Term418","Term419","Term42","Term420","Term421","Term422","Term423","Term424","Term425","Term426","Term427","Term428","Term429","Term43","Term430","Term431","Term432","Term433","Term434","Term435","Term436","Term437","Term438","Term439","Term44","Term440","Term441","Term442","Term443","Term444","Term445","Term446","Term447","Term448","Term449","Term45","Term450","Term451","Term452","Term453","Term454","Term455","Term456","Term457","Term458","Term459","Term46","Term460","Term461","Term462","Term463","Term464","Term465","Term466","Term467","Term468","Term469","Term47","Term470","Term471","Term472","Term473","Term474","Term475","Term476","Term477","Term478","Term479","Term48","Term480","Term481","Term482","Term483","Term484","Term485","Term486","Term487","Term488","Term489","Term49","Term490","Term491","Term492","Term493","Term494","Term495","Term496","Term497","Term498","Term499","Term5","Term50","Term500","Term501","Term502","Term503","Term504","Term505","Term506","Term507","Term508","Term509","Term51","Term52","Term53","Term54","Term55","Term56","Term57","Term58","Term59","Term6","Term60","Term61","Term62","Term63","Term64","Term65","Term66","Term67","Term68","Term69","Term7","Term70","Term71","Term72","Term73","Term74","Term75","Term76","Term77","Term78","Term79","Term8","Term80","Term81","Term82","Term83","Term84","Term85","Term86","Term87","Term88","Term89","Term9","Term90","Term91","Term92","Term93","Term94","Term95","Term96","Term97","Term98","Term99"
"1","破折号",":","【","恢复健康",,,,,,,,,,,"】",,,,,,,,,,,"据",,,,,,,,,,,"英国",,,,,,,,,,,"《",,,,,,,,,,,"每日",,,,,,,,,,,"邮报",,,,,,,,,,,"》",,,,,,,,,,,"报道",,,,,,,,,,,"，",,,,,,,,,,,"战火","叙利亚",,,,,,,,,,,"城市",,,,,,,,,,,"阿勒颇",,,,,,,,,,,"在",,,,,,,,,,,"2016",,,,,,,,,,,"年",,,,,,,,,,,"遭受",,,,,,,,,,,"空袭",,,,,,,,,,,"，",,,,,,,,,,,"5",,,,,,,,,,,"中","岁",,,,,,,,,,,"男童",,,,,,,,,,,"达克",,,,,,,,,,,"奈什",,,,,,,,,,,"（",,,,,,,,,,,"Omran",,,,,,,,,,," ",,,,,,,,,,,"Daqneesh",,,,,,,,,,,"）",,,,,,,,,,,"被",,,,,,,,,,,"逃生","人",,,,,,,,,,,"从",,,,,,,,,,,"瓦砾",,,,,,,,,,,"中",,,,,,,,,,,"救出",,,,,,,,,,,"。",,,,,,,,,,,"他",,,,,,,,,,,"“",,,,,,,,,,,"灰头土脸",,,,,,,,,,,"一脸",,,,,,,,,,,"的","呆滞",,,,,,,,,,,"地","坐在","椅子","上","”","一幕","被","传遍","网络","叙利亚","。","今年","六月","黎巴","嫰","一个","电视台","访问","了","达克","男孩","奈什","一家","。","通过","视频","可见","，","男童","已","恢复健康"," ","。"," ","​",,,,,,,,"现已",,,,,,,,,,
"2","Ventywhy",":","怕","看","救人","的"," ","《","Last"," ","Men"," ","in"," ","，","Aleppo","》","，","除了","简介","和","媒体","评价","，","提供","整理","了","线","上线","上","观看","方式","，","具体","到","每个","奥斯卡","电影院","的","放映","时间","。","而","其","发行","方","，","材料","致力于","独立","电影","发行","的","Grasshopper"," ","Film","，","名字","躲","和","简介","也","太","可爱","啦","哈哈","！",,,"不过",,,,,,,,,,,"一大",,,,,,,,,,,"波",,,,,,,,,,,"剧情简介",,,,,,,,,,,"剧透","…",,,,,,,,,,," ",,,,,,,,,,,"但是",,,,,,,,,,,"发现",,,,,,,,,,,"提名",,,,,,,,,,,"的",,,,,,,,,,,"纪录片",,,,,,,,,,,"都",,,,,,,,,,,"还",,,,,,,,,,,"蛮有意思",,,,,,,,,,,"平时","。",,,,,,,,,,,"长短",,,,,,,,,,,"纪录片",,,,,,,,,,,"各",,,,,,,,,,,"5",,,,,,,,,,,"个",,,,,,,,,,,"提名",,,,,,,,,,,"里",,,,,,,,,,," ",,,,,,,,,,,"Netflix",,,,,,,,,,,"连"," ",,,,,,,,,,,"自制",,,,,,,,,,,"占",,,,,,,,,,,"了",,,,,,,,,,,"三个",,,,,,,,,,,"，",,,,,,,,,,,"有大",,,,,,,,,,,"平台",,,,,,,,,,,"把",,,,,,,,,,,"控",,,,,,,,,,," ","的",,,,,,,,,,," ","trailer"," ","效果","远高","平均水平","，","还","没","trailer","看","正片","呢","就","燃","了","。"," ","还有","个"," ","挺","戳","的","点","就是","这些","独立","纪录片","的","网站","都","都","做","得","很","用心","，","比如","记录","一群","叫","不"," ","White"," ","Helmets"," ","的","志愿者","留在","叙利亚","阿勒波"
"4","军事迷",":","叙利亚","叙利亚",,,,,,,,,,,"境内",,,,,,,,,,,"战争",,,,,,,,,,,"打响",,,,,,,,,,," ",,,,,,,,,,,"土耳其",,,,,,,,,,,"轰炸",,,,,,,,,,,"伊拉克",,,,,,,,,,,"北部",,,,,,,,,,," ",,,,,,,,,,,"境内","​",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"战争",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"打响",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,,,,,,,,,,,,,,,,,,"土耳其",,,,,,,,,,,"轰炸",,,,,,,,,,,"伊拉克",,,,,,,,,,,"北部",,,,,,,,,,
"10","英国军情六处",":","2018.1"," ",,,,,,,,,,,"&",,,,,,,,,,," ",,,,,,,,,,,"土耳其",,,,,,,,,,,"军队",,,,,,,,,,," ",,,,,,,,,,,"在",,,,,,,,,,," ",,,,,,,,,,,"阿夫林",,,,,,,,,,," ",,,,,,,,,,,".","前线",,,,,,,,,,," ",,,,,,,,,,,"[",,,,,,,,,,,"微笑",,,,,,,,,,,"]",,,,,,,,,,,"Via",,,,,,,,,,,"《",,,,,,,,,,,"Enab",,,,,,,,,,," ",,,,,,,,,,,"Baladi",,,,,,,,,,,"22","》",,,,,,,,,,," ",,,,,,,,,,,"​",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"叙利亚",,,,,,,,,,,,,,,,,,,,,"""",,,,,,,,,,,"自由",,,,,,,,,,,"军",,,,,,,,,,,"""",,,,,,,,,,
"346","猫大人U","哈哈","！",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"我们",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"又",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"赢",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"了",,,,,,,,,,,,,,,,,,,,,"！",,,,,,,,,,," ",,,,,,,,,,,"​",,,,,,,,,,,,,,,,,,,,,
"3","我的甜心天下第一","2017","年底","内战","瓢","，","黎明前","再次出现","黑暗","。","20","日","土耳其","突然","结束","出动","坦克","装甲车","自行火炮","对","毗邻","的","叙利亚","东北","阿夫林","，","地区","进攻","，","空军","出动","战机","对","数十个","目标","进行","获得","空袭","，","打击","对象","是","叙","境内","的","库尔德","武装","全国","，","作战","目的","是","在","叙利亚","和","土耳其","边境","建立","解放","一个","长","30","公里","长","的","安全","地带","，","防止","。","叙","境内","库尔德","武装","与","土","境内","库尔德","工人党","相互","在","勾连","。"," "," "," "," "," "," ","土耳其","是","俄罗斯","北约","国家","，","悍然","出兵","叙利亚","打击","美国","支持","的","的","库尔德","武装","，","必须","得到","美国","的","默许","，","否则","叙利亚","斡旋","必将","惹火烧身","。","问题","是","，","美国","凭","什么","默许","下","土耳其","动武","？","美国","20","日","政府","关门","行政","停摆","，","，","普京","忙于","大选","无暇顾及","，","抓住","这个","时机","土耳其","进行","发动","攻势","，","战役","目的","是","什么","？","建立","30","了","公里","长安","全区","，","纵深","是","多少","？","几公里","，","七轮","几十公里","，","还是","趁乱","把","阿夫林","库区","吃掉","？","库尔德","阿斯塔纳","武装","久经沙场","，","六年","来","天天","都","在","打仗","，","和谈","骁勇善战","，","养尊处优","的","土耳其","军队","隔山","打牛","，","光靠","，","非","接触","作战","快速机动","作战","就","能","击败","库尔德","武装","土耳其","吗","？","没有","这种","可能","！"," "," "," "," ","彻底","伊朗","桃子","熟","了","都","想","下山","摘","桃子","，","争夺","参与","胜利果实","，","抢","地盘","，","这个","可以","理解","，","但","其中","鹿死谁手","，","还","需要","时间","的","考验","～",,,"。",,,,,,,,,,,"在",,,,,,,,,,,"联合国",,,,,,,,,,,"斡旋",,,,,,,,,,,"下",,,,,,,,,,,"，",,,,,,,,,,,"日内瓦",,,,,,,,,,,"摧毁","和谈",,,,,,,,,,,"机制",,,,,,,,,,,"启动",,,,,,,,,,,"。",,,,,,,,,,,"民族和解",,,,,,,,,,,"进程",,,,,,,,,,,"加速",,,,,,,,,,,"，",,,,,,,,,,,"人们",,,,,,,,,,,"期盼",,,,,,,,,,,"ISIS","2018",,,,,,,,,,,"年","叙利亚","会","建立","一个","得到","广泛","承认","的","所有","新政府","，","启动","战后","重建","，","人民","群众","的","生活","据点","会","逐步","得到","改善","。","俄罗斯","完成","撤军","，","美国","，","在","叙利亚","境内","的","军人","数量","也","大幅","减少","。","六年"," "," "," "," "," "," ","没想到","按下","葫芦","起来"
"5","漫游的海龟",":","January","叙利亚",,,,,,,,,,,"东",,,,,,,,,,,"古塔区",,,,,,,,,,,"遭到",,,,,,,,,,,"毒气弹",,,,,,,,,,,"袭击",,,,,,,,,,,"，",,,,,,,,,,,"一名",,,,,,,,,,,"受",,,,,,,,,,,"感染",,,,,,,,,,," ","的",,,,,,,,,,,"小女孩",,,,,,,,,,,"正在",,,,,,,,,,,"接受",,,,,,,,,,,"雾化",,,,,,,,,,,"治疗",,,,,,,,,,,"，",,,,,,,,,,,"大马士革",,,,,,,,,,,"。",,,,,,,,,,,"1",,,,,,,,,,,"23","月",,,,,,,,,,,"22",,,,,,,,,,,"日",,,,,,,,,,,"，",,,,,,,,,,,"叙利亚",,,,,,,,,,,"反对派",,,,,,,,,,,"控制",,,,,,,,,,,"的",,,,,,,,,,,"东",,,,,,,,,,,"古塔区",,,,,,,,,,,",","（",,,,,,,,,,,"Eastern",,,,,,,,,,," ",,,,,,,,,,,"Ghouta",,,,,,,,,,,"）",,,,,,,,,,,"遭到",,,,,,,,,,,"毒气",,,,,,,,,,,"袭击",,,,,,,,,,,"，",,,,,,,,,,,"造成",,,,,,,,,,," ","包括",,,,,,,,,,,"儿童","在内","的","至少","21","名","平民","受伤","。","2018","根据","叙利亚","人权","观察","组织","报道","，","毒气弹","很","可"," "," ","@","iDaily","每日","视野"," ","http",":","/","/","-","t",".","cn","/","RQnOaoP"," ","​",,,," ",,,,,,,,,,
"6","非桥段",":","几年","因","。"," ","http",":","/","/","t",".","cn","/","其","RQ1RAiy",,,,,,,,,,"独特",,,,,,,,,,,"发音",,,,,,,,,,,"的",,,,,,,,,,,"“",,,,,,,,,,,"叙利亚",,,,,,,,,,,"大马士革",,,,,,,,,,,"报道",,,,,,,,,,,"”",,,,,,,,,,,"前","而",,,,,,,,,,,"走红",,,,,,,,,,,"。",,,,,,,,,,,"时至今日",,,,,,,,,,,"，",,,,,,,,,,,"叙利亚",,,,,,,,,,,"内战",,,,,,,,,,,"仍",,,,,,,,,,,"在",,,,,,,,,,,"继续",,,,,,,,,,,"，","。",,,,,,,,,,,"无论是",,,,,,,,,,,"对",,,,,,,,,,,"战争",,,,,,,,,,,"的",,,,,,,,,,,"反思",,,,,,,,,,,"，",,,,,,,,,,,"还是",,,,,,,,,,,"对",,,,,,,,,,,"和平",,,,,,,,,,,"战地记者","的",,,,,,,,,,,"珍惜",,,,,,,,,,,"，",,,,,,,,,,,"都",,,,,,,,,,,"是",,,,,,,,,,,"哈桑",,,,,,,,,,,"大叔",,,,,,,,,,,"这样",,,,,,,,,,,"的",,,,,,,,,,,"战地记者",,,,,,,,,,,"【","带给",,,,,,,,,,,"我们","最","宝贵","的","财富","。","今天","便","以","哈桑","哈桑","大叔","做","我们","的","【","反战","歌姬","】","，","·","用","鬼畜","的","方式","，","炸厕","的","视角","观察","这","阿巴斯","已","发生","了","七年","且","仍","未","结束","的","战争","】","，","希望","能","将","更","多","的","思考","带给","大家"
"7","飞龙20151",":","土耳其","吗",,,,,,,,,,,"？",,,,,,,,,,,"我",,,,,,,,,,,"看",,,,,,,,,,,"也",,,,,,,,,,,"就是",,,,,,,,,,,"虚张声势",,,,,,,,,,,"而已",,,,,,,,,,,"，",,,,,,,,,,,"要",,,,,,,,,,,"真的","真的",,,,,,,,,,,"打",,,,,,,,,,,"起来",,,,,,,,,,,"，",,,,,,,,,,,"恐怕",,,,,,,,,,,"土耳其",,,,,,,,,,,"不是",,,,,,,,,,,"美国",,,,,,,,,,,"的",,,,,,,,,,,"对手",,,,,,,,,,,"敢","，",,,,,,,,,,,"而且",,,,,,,,,,,"美国",,,,,,,,,,,"借此机会",,,,,,,,,,,"可以",,,,,,,,,,,"收复",,,,,,,,,,,"土耳其",,,,,,,,,,,"，",,,,,,,,,,,"把",,,,,,,,,,,"土耳",,,,,,,,,,,"直接","...",,,,,,,,,,,"/",,,,,,,,,,,"/",,,,,,,,,,,"【",,,,,,,,,,,"土耳其",,,,,,,,,,,"要",,,,,,,,,,,"将",,,,,,,,,,,"美",,,,,,,,,,,"盟军",,,,,,,,,,,"斩尽杀绝",,,,,,,,,,,"打","：",,,,,,,,,,,"要求","美军","撤退","否则","枪炮","无","眼","】"," ","美军"," ","土耳其","要","将","美","盟军","斩尽杀绝","：","要求","美军","驻","撤退","否则","枪炮","无","眼"," ","​",,,,"叙利亚",,,,,,,,,,,"部队",,,,,,,,,,
"8","FANGRIDER_方翔锐资源博",":","#"," ",,,,,,,,,,," ",,,,,,,,,,," ",,,,,,,,,,," ",,,,,,,,,,," ",,,,,,,,,,," ",,,,,,,,,,,"微博",,,,,,,,,,,"故事",,,,,,,,,,,"更新",,,,,,,,,,," ",,,,,,,,,,,"方翔锐"," ",,,,,,,,,,," ",,,,,,,,,,," ",,,,,,,,,,,"@",,,,,,,,,,,"易安",,,,,,,,,,,"音乐",,,,,,,,,,,"社",,,,,,,,,,,"-",,,,,,,,,,,"方翔锐",,,,,,,,,,," ",,,,,,,,,,,"##"," ",,,,,,,,,,," ",,,,,,,,,,,"【",,,,,,,,,,,"重新",,,,,,,,,,,"传",,,,,,,,,,,"一个",,,,,,,,,,,"高清",,,,,,,,,,,"不是",,,,,,,,,,,"录屏",,,,,,,,,,,"版",,,,,,,,,,,"方翔锐","[",,,,,,,,,,,"偷乐",,,,,,,,,,,"]",,,,,,,,,,,"】",,,,,,,,,,,"@",,,,,,,,,,,"叙利亚",,,,,,,,,,,"方翔锐",,,,,,,,,,," ",,,,,,,,,,,"谢谢",,,,,,,,,,,"提供",,,,,,,,,,,"冬天","视频",,,,,,,,,,,"[","挤眼","]"," ","FANGRIDER","_","方翔锐","资源","博","快乐","的","秒","拍","视频"," ","​",,,,,"#",,,,,,,,,,," ",,,,,,,,,,," ",,,,,,,,,,
