"_id","name","Term0","Term1","Term10","Term100","Term101","Term102","Term103","Term104","Term105","Term106","Term107","Term108","Term109","Term11","Term110","Term111","Term112","Term113","Term114","Term115","Term116","Term117","Term118","Term119","Term12","Term120","Term121","Term122","Term123","Term124","Term125","Term126","Term127","Term128","Term129","Term13","Term130","Term131","Term132","Term133","Term134","Term135","Term136","Term137","Term138","Term139","Term14","Term140","Term141","Term142","Term143","Term144","Term145","Term146","Term147","Term148","Term149","Term15","Term150","Term151","Term152","Term153","Term154","Term155","Term156","Term157","Term158","Term159","Term16","Term160","Term161","Term162","Term163","Term164","Term165","Term166","Term167","Term168","Term169","Term17","Term170","Term171","Term172","Term173","Term174","Term175","Term176","Term177","Term178","Term179","Term18","Term180","Term181","Term182","Term183","Term184","Term185","Term186","Term187","Term188","Term189","Term19","Term190","Term191","Term192","Term193","Term194","Term195","Term196","Term197","Term198","Term199","Term2","Term20","Term200","Term201","Term202","Term203","Term204","Term205","Term206","Term207","Term208","Term209","Term21","Term210","Term211","Term212","Term213","Term214","Term215","Term216","Term217","Term218","Term219","Term22","Term220","Term221","Term222","Term223","Term224","Term225","Term226","Term227","Term228","Term229","Term23","Term230","Term231","Term232","Term233","Term234","Term235","Term236","Term237","Term238","Term239","Term24","Term240","Term241","Term242","Term243","Term244","Term245","Term246","Term247","Term248","Term249","Term25","Term250","Term251","Term252","Term253","Term254","Term255","Term256","Term257","Term258","Term259","Term26","Term260","Term261","Term262","Term263","Term264","Term265","Term266","Term267","Term268","Term269","Term27","Term270","Term271","Term272","Term273","Term274","Term275","Term276","Term277","Term278","Term279","Term28","Term280","Term281","Term282","Term283","Term284","Term285","Term286","Term287","Term288","Term289","Term29","Term290","Term291","Term292","Term293","Term3","Term30","Term31","Term32","Term33","Term34","Term35","Term36","Term37","Term38","Term39","Term4","Term40","Term41","Term42","Term43","Term44","Term45","Term46","Term47","Term48","Term49","Term5","Term50","Term51","Term52","Term53","Term54","Term55","Term56","Term57","Term58","Term59","Term6","Term60","Term61","Term62","Term63","Term64","Term65","Term66","Term67","Term68","Term69","Term7","Term70","Term71","Term72","Term73","Term74","Term75","Term76","Term77","Term78","Term79","Term8","Term80","Term81","Term82","Term83","Term84","Term85","Term86","Term87","Term88","Term89","Term9","Term90","Term91","Term92","Term93","Term94","Term95","Term96","Term97","Term98","Term99"
"1","LoyaltoG",":","#","啦",,,,,,,,,,,"~",,,,,,,,,,,"视频",,,,,,,,,,,"在",,,,,,,,,,,"这",,,,,,,,,,,"[",,,,,,,,,,,"下",,,,,,,,,,,"]",,,,,,,,,,,"主角",,,,,,,,,,,"是",,,,,,,,,,,"权志龙","守护",,,,,,,,,,,"天使",,,,,,,,,,,"[",,,,,,,,,,,"允悲",,,,,,,,,,,"]",,,,,,,,,,,"再次",,,,,,,,,,,"被",,,,,,,,,,,"吃",,,,,,,,,,,"瓜龙仔",,,,,,,,,,,"一连串",,,,,"#","的","动作","可爱","晕","[","笑","cry","]","@","GDRAGON"," ","_","OFFICIAL"," ","LoyaltoG","的","秒拍","视频"," ","​",,"大",,,,,,,,,,,"噶",,,,,,,,,,,"不要",,,,,,,,,,,"再",,,,,,,,,,,"问",,,,,,,,,,
"2","权志龍-FOREVER",":","#","我",,,,,,,,,,,"喜欢",,,,,,,,,,,"你",,,,,,,,,,,"的",,,,,,,,,,,"名字",,,,,,,,,,,"，",,,,,,,,,,,"还有",,,,,,,,,,,"你",,,,,,,,,,,"笑",,,,,,,,,,,"的",,,,,,,,,,,"权志龙","样子",,,,,,,,,,,"，",,,,,,,,,,,"全世界",,,,,,,,,,,"最好",,,,,,,,,,,"的",,,,,,,,,,,"款",,,,,,,,,,,"鸡",,,,,,,,,,,"涌",,,,,,,,,,,"，",,,,,,,,,,,"撒浪嘿",,,,,"##","[","爱","你","]","[","爱","你","]","[","爱","权志龙","你","]","@","GDRAGON","_","OFFICIAL"," "," ","(","cr","的",".","logo",")"," ","权志龍","-","FOREVER","的","秒拍","视频","权"," ","​",,,,,,,,,"世界",,,,,,,,,,,"#",,,,,,,,,,," ",,,,,,,,,,
"3","本人CoMi",":","权志龙"," ",,,,,,,,,,,"世巡",,,,,,,,,,,"首尔",,,,,,,,,,,"终场",,,,,,,,,,," ",,,,,,,,,,,"权志龙",,,,,,,,,,," ",,,,,,,,,,,"噩梦",,,,,,,,,,,"+",,,,,,,,,,,"she",,,,,,,,,,," ","'",,,,,,,,,,,"s",,,,,,,,,,," ",,,,,,,,,,,"gone",,,,,,,,,,," ",,,,,,,,,,,"世巡",,,,,,,,,,,"首尔",,,,,,,,,,,"终场",,,,,,,,,,," ",,,,,,,,,,,"@",,,,,"噩梦","优酷"," ","​",,,,,,,,"+",,,,,,,,,,,"she",,,,,,,,,,,"'",,,,,,,,,,,"s",,,,,,,,,,," ",,,,,,,,,,,"gone",,,,,,,,,,
"4","要会员才能改名",":","不会","啃",,,,,,,,,,,"手指甲",,,,,,,,,,," ",,,,,,,,,,,"有点",,,,,,,,,,,"八卦",,,,,,,,,,," ",,,,,,,,,,,"喝酒",,,,,,,,,,,"容易",,,,,,,,,,,"醉",,,,,,,,,,," ",,,,,,,,,,,"跳绳","没有",,,,,,,,,,,"人",,,,,,,,,,,"是",,,,,,,,,,,"完美",,,,,,,,,,,"的",,,,,,,,,,," ",,,,,,,,,,,"正是",,,,,,,,,,,"因为",,,,,,,,,,,"有",,,,,,,,,,,"了",,,,," ","这些","小","缺点","才","显得","权志龙","更加","可爱","啊"," ","不会","权志龙","就是","无比","的","可爱","啊"," ","我","真的","好","拍","想","他","啊","[","失望","]"," ","​",,,"美食",,,,,,,,,,,"照",,,,,,,,,,," ",,,,,,,,,,,"爱",,,,,,,,,,
"5","权志龙GOODBOY2",":","#","是",,,,,,,,,,,"想",,,,,,,,,,,"你",,,,,,,,,,,"的",,,,,,,,,,,"一天",,,,,,,,,,,"[",,,,,,,,,,,"抱抱",,,,,,,,,,,"]",,,,,,,,,,,"今天",,,,,,,,,,,"是",,,,,,,,,,,"权志龙","可爱",,,,,,,,,,,"的",,,,,,,,,,,"太子",,,,,,,,,,,"大人",,,,,,,,,,,"[",,,,,,,,,,,"心",,,,,,,,,,,"]",,,,,,,,,,,"[",,,,,,,,,,,"心",,,,,,,,,,,"]",,,,,"##"," ","​",,,,,,,,,"一骑",,,,,,,,,,,"绝尘",,,,,,,,,,,"权志龙",,,,,,,,,,,"#",,,,,,,,,,," ",,,,,,,,,,,"又",,,,,,,,,,
"6","wuli权先森哇",":","#","！",,,,,,,,,,,"款鸡",,,,,,,,,,,"涌",,,,,,,,,,,"[",,,,,,,,,,,"左",,,,,,,,,,,"哼哼",,,,,,,,,,,"]",,,,,,,,,,,"！",,,,,,,,,,,"什么",,,,,,,,,,,"时候",,,,,,,,,,,"一骑","更新",,,,,,,,,,,"微博",,,,,,,,,,,"[",,,,,,,,,,,"泪",,,,,,,,,,,"]",,,,,,,,,,," ",,,,,,,,,,,"​",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"绝尘",,,,,,,,,,,"权志龙",,,,,,,,,,,"##",,,,,,,,,,,"权志龙",,,,,,,,,,,"#",,,,,,,,,,," ",,,,,,,,,,,"呀",,,,,,,,,,
"13","挑逗·",":","做",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"权志龙",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"老婆",,,,,,,,,,,"，",,,,,,,,,,,"费启鸣",,,,,,,,,,,"女朋友",,,,,,,,,,,"。",,,,,,,,,,," ",,,,,,,,,,,"​",,,,,,,,,,
"7","宣子寒",":","大家","老公",,,,,,,,,,,"。",,,,,,,,,,,"陈翔",,,,,,,,,,,"/",,,,,,,,,,,"权志龙",,,,,,,,,,,"/",,,,,,,,,,,"崔胜铉",,,,,,,,,,,"/",,,,,,,,,,,"伦桑",,,,,,,,,,,"/",,,,,,,,,,,"好","李常超",,,,,,,,,,,"/",,,,,,,,,,,"白敬亭",,,,,,,,,,,"/",,,,,,,,,,,"刘昊然",,,,,,,,,,,"/",,,,,,,,,,,"胡",,,,,,,,,,,"一天",,,,,,,,,,,"/",,,,,,,,,,,"王俊凯",,,,,"，","我","就是","一个","如此","专一","又","惹人爱","的","女孩子","。","给"," ","​",,,,,,,,,"大家",,,,,,,,,,,"介绍",,,,,,,,,,,"一下",,,,,,,,,,,"我",,,,,,,,,,,"的",,,,,,,,,,
"8","韩都衣舍G-Dragon粉丝团",":","#","《","·","2018","#","（","E","）","cr",":","logo"," ","blue","http",":","/","/","t",".","cn","/","RQnKfTU",,"》",,,,,,,,,,,"是",,,,,,,,,,,"在",,,,,,,,,,,"2012",,,,,,,,,,,"年",,,,,,,,,,,"2",,,,,,,,,,,"月",,,,,,,,,,,"发行",,,,,,,,,,,"权志龙","的",,,,,,,,,,,"歌曲",,,,,,,,,,,"，",,,,,,,,,,,"收录于",,,,,,,,,,,"专辑",,,,,,,,,,,"《",,,,,,,,,,,"Alive",,,,,,,,,,,"》",,,,,,,,,,,"中",,,,,,,,,,,"，",,,,,"##","哥哥","们","在","2011","年","经历","了","很多","是非","，","权志龙","但是","VIP","们","陪","着","哥哥","们","走过","了","那","的","一段","艰难","的","时期","，","2012","年","回归","的","时候","权","，","就","用","曾","受过","的","磨难","作为","题材","，","世界","写出","BLUE","这首","表达","他们","当时","心情","的","歌曲","。","#","冬去","春","又","来","，","接下来","的","日子","VIP","们"," ","也","要","陪","哥哥","同行","哦","！","#","X","起义"
"9","-HooSzeYan-",":","我","回答",,,,,,,,,,,"，",,,,,,,,,,,"问题",,,,,,,,,,,"价值",,,,,,,,,,," ",,,,,,,,,,,"133.00",,,,,,,,,,," ",,,,,,,,,,,"元",,,,,,,,,,,"，",,,,,,,,,,,"快",,,,,,,,,,,"免费","来",,,,,,,,,,,"一起",,,,,,,,,,,"免费",,,,,,,,,,,"围观",,,,,,,,,,,"~",,,,,,,,,,," ",,,,,,,,,,,"<",,,,,,,,,,,"br",,,,,,,,,,," ",,,,,,,,,,,"/",,,,,"围观",">","微博","问答",":","权志龙","对","郑秀晶","和","崔雪莉","有","了","过","好感","吗","，","当时","在","水晶","的","ins","的"," ","点赞","是","怎么回事","？"," ","kiko","对于","新","歌","无题","@"," ","为什么","会怒","了","，","小松","听","了","新歌","无题","林瑠梨","又","是","什么","反应","？","谢谢","。"," ","​",," ",,,,,,,,,,,"的",,,,,,,,,,
